specimen_id,point_index,point_name,x,y,z,fit_x,fit_y,fit_z,theta_deg,radial_coordinate,axial_coordinate,radial_residual,axial_residual,helix_distance
otiorynchus_singularis_trochanter_aligned,13,C.1.13,0.08041412,0.05593063,0.115176,0.07573883656709983,0.06060080343965149,0.10995506587758008,-337.43716900603937,0.23683449080073804,0.03886023332652004,0.003993537219082244,-0.007414756147361177,0.008421813833434322
otiorynchus_singularis_trochanter_aligned,14,C.1.14,0.05468332,0.03605997,0.130399,0.04869987194060272,0.04238188212365896,0.12121153406313322,-345.8832129498379,0.24016357228252974,0.032240198517571116,0.007322618700873945,-0.010322645459448342,0.012656135030879628
otiorynchus_singularis_trochanter_aligned,15,C.1.15,0.02788516,0.01428849,0.1402284,0.021465105864499553,0.02281927954258725,0.1276438174103217,-354.24369638375504,0.24285008872173583,0.025766550573820157,0.010009135140080033,-0.013121752856486866,0.01650342947023758
otiorynchus_singularis_trochanter_aligned,16,C.1.16,-0.0008015633,-0.007210374,0.1421162,-0.0058409609992639624,0.0019103127955471602,0.12926276894778627,-362.67438066788816,0.24312594947145155,0.02222096416641107,0.010284995889795756,-0.012961944536014307,0.0165466959423272
otiorynchus_singularis_trochanter_aligned,17,C.1.17,-0.03834811,-0.03049771,0.1367264,-0.03860781332826892,-0.025147282714929376,0.12444712612301122,-373.15144578422206,0.2441034430480188,0.02332335187980318,0.01126248946636299,-0.007254751265047166,0.013396831151344756
otiorynchus_singularis_trochanter_aligned,18,C.1.18,-0.07506815,-0.05001535,0.120857,-0.06872466420489982,-0.05241712913293595,0.11240165936364156,-383.5327005073505,0.24313278607501984,0.029418248107228408,0.010291832493364045,0.0034028406135807143,0.010839794292923583
otiorynchus_singularis_trochanter_aligned,19,C.1.19,-0.1047945,-0.0720365,0.09610814,-0.09579670928572745,-0.07976191834751052,0.0932197762587645,-394.0659309951342,0.23923210207340556,0.03178486803602257,0.006391148491749765,0.010398951506762141,0.012205940008192131
otiorynchus_singularis_trochanter_aligned,20,C.1.20,-0.1198904,-0.09078339,0.07156306,-0.11378920320279565,-0.10029959486218476,0.07387895318859945,-402.2587621719158,0.2331203723015863,0.029320573606158678,0.0002794187199305076,0.01153551228932809,0.01153889590031415
otiorynchus_singularis_trochanter_aligned,21,C.1.21,-0.1277529,-0.1076551,0.04266071,-0.1287236152737029,-0.1199060022980347,0.050981903449855634,-410.495928408567,0.22344534649773432,0.0256534853589735,-0.009395607083921481,0.011488765086512913,0.01484146743716781
otiorynchus_singularis_trochanter_aligned,22,C.1.22,-0.1361782,-0.1255363,0.01453455,-0.14076434532133925,-0.13925733725831546,0.023334842382062612,-419.2701488335009,0.21993208496277508,0.021267618394305996,-0.012908868618880714,0.01095928142456383,0.016933538861156946
otiorynchus_singularis_trochanter_aligned,23,C.1.23,-0.1469773,-0.1436511,-0.01126137,-0.14829230507208532,-0.15606095248094737,-0.005871779343161229,-427.72442295198465,0.2245919364221119,0.01739697517322233,-0.008249017159543903,0.010804400968509051,0.013593430927722748
