"term";"estimate";"std_error";"statistic";"p_value";"response";"predictor";"n_taxa";"lambda";"predictor_type";"fdr_p_value"
"abs_winding_angle_deg";"8,01141058683021e-04";"3,28805149646821e-04";"2,4365222367823329";"3,50569177132320e-02";"PC3";"abs_winding_angle_deg";"12";"0,000000000000000";"continuous";"1,28542031615184e-01"
"(Intercept)";"-3,47735759040323e-01";"1,35926823398273e-01";"-2,5582570852953523";"2,84581120229551e-02";"PC3";"n_turns_abs";"12";"0,000000000000000";"continuous";"1,24733369720149e-01"
"n_turns_abs";"2,88410781125888e-01";"1,18369853872855e-01";"2,4365222367823325";"3,50569177132320e-02";"PC3";"n_turns_abs";"12";"0,000000000000000";"continuous";"1,28542031615184e-01"
"(Intercept)";"-1,68471502973038e-01";"1,11861308848552e-01";"-1,5060748413120180";"1,62965235670843e-01";"PC3";"start_end_dist";"12";"0,000000000000000";"continuous";"3,31966220810976e-01"
"start_end_dist";"4,45792922288610e-01";"3,28861625771510e-01";"1,3555638218438488";"2,05060988891962e-01";"PC3";"start_end_dist";"12";"0,000000000000000";"continuous";"3,72379320661261e-01"
"(Intercept)";"-2,47421531859763e-01";"6,94596240984709e-02";"-3,5620914318367292";"5,16324398985097e-03";"PC3";"axial_span";"12";"1,000000000000000";"continuous";"2,98924652044003e-02"
"axial_span";"1,22241586804717e+00";"3,25477035466297e-01";"3,7557668739850194";"3,74812841434538e-03";"PC3";"axial_span";"12";"1,000000000000000";"continuous";"2,29052291987773e-02"
"(Intercept)";"-2,12591861921997e-02";"8,43498063244877e-02";"-0,2520359810954054";"8,06117573805705e-01";"PC3";"axial_pitch_360";"12";"0,000000000000000";"continuous";"8,73044451147791e-01"
"axial_pitch_360";"8,00216821229521e-03";"4,91424370034918e-01";"0,0162836210416805";"9,87328429051099e-01";"PC3";"axial_pitch_360";"12";"0,000000000000000";"continuous";"9,87328429051099e-01"
"(Intercept)";"1,01565839101730e-02";"3,69405875622753e-01";"0,0274943756458958";"9,78606380745401e-01";"PC3";"fit_radius";"12";"0,000000000000000";"continuous";"9,87328429051099e-01"
"fit_radius";"-1,20962881917914e-01";"1,48118430945840e+00";"-0,0816663268341967";"9,36523503097670e-01";"PC3";"fit_radius";"12";"0,000000000000000";"continuous";"9,62781171408819e-01"
"(Intercept)";"-4,14988433228666e-02";"1,35467702069274e-01";"-0,3063375453260836";"7,65630669291212e-01";"PC4";"abs_winding_angle_deg";"12";"0,000000000000000";"continuous";"8,73044451147791e-01"
"abs_winding_angle_deg";"1,48384686002033e-04";"3,27694541353965e-04";"0,4528140303739547";"6,60348165257080e-01";"PC4";"abs_winding_angle_deg";"12";"0,000000000000000";"continuous";"8,25435206571349e-01"
"(Intercept)";"-4,14988433228669e-02";"1,35467702069274e-01";"-0,3063375453260855";"7,65630669291211e-01";"PC4";"n_turns_abs";"12";"0,000000000000000";"continuous";"8,73044451147791e-01"
"n_turns_abs";"5,34184869607322e-02";"1,17970034887427e-01";"0,4528140303739567";"6,60348165257078e-01";"PC4";"n_turns_abs";"12";"0,000000000000000";"continuous";"8,25435206571349e-01"
"(Intercept)";"9,69665796580399e-02";"8,17874095939745e-02";"1,1855929921172568";"2,63190600817748e-01";"PC4";"start_end_dist";"12";"0,848677544678989";"continuous";"4,25749501322828e-01"
"start_end_dist";"-2,90272401420954e-01";"2,30784297927233e-01";"-1,2577649520699938";"2,37053860231215e-01";"PC4";"start_end_dist";"12";"0,848677544678989";"continuous";"3,97794794940453e-01"
"(Intercept)";"1,22937591450204e-01";"6,60594004226275e-02";"1,8610158533635943";"9,23608539323584e-02";"PC4";"axial_span";"12";"1,000000000000000";"continuous";"2,41897474584748e-01"
"axial_span";"-6,58155500605062e-01";"3,09544114200169e-01";"-2,1262090616895439";"5,93993443931141e-02";"PC4";"axial_span";"12";"1,000000000000000";"continuous";"1,92174349507134e-01"
"(Intercept)";"1,44533783240929e-01";"6,02028879955564e-02";"2,4007782359476963";"3,72660588558896e-02";"PC4";"axial_pitch_360";"12";"1,000000000000000";"continuous";"1,32234402391866e-01"
