"term";"estimate";"std_error";"statistic";"p_value";"response";"predictor";"n_taxa";"lambda";"predictor_type";"fdr_p_value"
"start_end_dist";"1,26490824673259e-02";"1,57600087970207e-01";"0,0802606307536905";"9,37352981879822e-01";"PC5";"start_end_dist";"14";"0,000000000000000";"continuous";"0,954711370433152462"
"(Intercept)";"3,39122371310217e-02";"2,21086500863051e-02";"1,5338899932216243";"1,50989653011844e-01";"PC5";"axial_span";"14";"0,000000000000000";"continuous";"0,310691505337305496"
"axial_span";"-1,85401613827699e-01";"1,32895267143146e-01";"-1,3950956855972638";"1,88271115561259e-01";"PC5";"axial_span";"14";"0,000000000000000";"continuous";"0,339505290356368616"
"(Intercept)";"2,84330671151827e-02";"2,47388445166193e-02";"1,1493288256079057";"2,72812768265691e-01";"PC5";"axial_pitch_360";"14";"0,000000000000000";"continuous";"0,430296667301577784"
"axial_pitch_360";"-1,53136480634031e-01";"1,55048773571547e-01";"-0,9876665071676026";"3,42812827640371e-01";"PC5";"axial_pitch_360";"14";"0,000000000000000";"continuous";"0,489732610914815292"
"(Intercept)";"-1,47092327690090e-03";"6,95811492877026e-02";"-0,0211396806744159";"9,83481674175683e-01";"PC5";"fit_radius";"14";"0,000000000000000";"continuous";"0,983481674175683107"
"fit_radius";"3,16262500486375e-02";"2,94078546566557e-01";"0,1075435471845268";"9,16134930222990e-01";"PC5";"fit_radius";"14";"0,000000000000000";"continuous";"0,954711370433152462"
"(Intercept)";"1,33292326915078e-01";"9,46218526605705e-02";"1,4086843912603071";"1,84308915377838e-01";"PC1";"centroid_size";"14";"1,000000000000000";"continuous";"0,337899678192702502"
"centroid_size";"-5,12167391900249e-04";"4,97550408062617e-04";"-1,0293778953866162";"3,23604279697105e-01";"PC1";"centroid_size";"14";"1,000000000000000";"continuous";"0,481033388738939749"
"(Intercept)";"2,42437146604265e-01";"8,15590326521904e-02";"2,9725358273698657";"1,16461771111189e-02";"PC2";"centroid_size";"14";"1,000000000000000";"continuous";"0,080024981652164442"
"centroid_size";"-1,00707791784781e-03";"4,28862137405596e-04";"-2,3482556047967713";"3,68292116590895e-02";"PC2";"centroid_size";"14";"1,000000000000000";"continuous";"0,149301701437985795"
"(Intercept)";"7,19537476322634e-03";"7,95780855009786e-02";"0,0904190483840912";"9,29445941097888e-01";"PC3";"centroid_size";"14";"0,000000000000000";"continuous";"0,954711370433152462"
"centroid_size";"-1,02706539106367e-04";"3,97086828096993e-04";"-0,2586500781166163";"8,00288407878906e-01";"PC3";"centroid_size";"14";"0,000000000000000";"continuous";"0,916997134027912830"
"(Intercept)";"1,03671984851778e-01";"6,12464402980629e-02";"1,6927022100753335";"1,16290156137414e-01";"PC4";"centroid_size";"14";"0,794018958344854";"continuous";"0,289402738503873158"
"centroid_size";"-5,00189270820878e-04";"3,25946256029321e-04";"-1,5345759049795098";"1,50822332069213e-01";"PC4";"centroid_size";"14";"0,794018958344854";"continuous";"0,310691505337305496"
"(Intercept)";"2,94383456270218e-02";"3,63688971691356e-02";"0,8094374016929106";"4,34020568812297e-01";"PC5";"centroid_size";"14";"0,000000000000000";"continuous";"0,596778282116908976"
"centroid_size";"-1,21837168099828e-04";"1,81477223627102e-04";"-0,6713634122493417";"5,14705352739177e-01";"PC5";"centroid_size";"14";"0,000000000000000";"continuous";"0,676352875405681342"
"(Intercept)";"1,81105191085007e+02";"7,77031086510162e+01";"2,3307328912462810";"3,80198259702755e-02";"abs_winding_angle_deg";"centroid_size";"14";"1,000000000000000";"continuous";"0,149301701437985795"
"centroid_size";"6,71354760753211e-01";"4,08586519181074e-01";"1,6431152992976872";"1,26284831347145e-01";"abs_winding_angle_deg";"centroid_size";"14";"1,000000000000000";"continuous";"0,289402738503873158"
"(Intercept)";"5,03069975236130e-01";"2,15841968475045e-01";"2,3307328912462815";"3,80198259702754e-02";"n_turns_abs";"centroid_size";"14";"1,000000000000000";"continuous";"0,149301701437985795"
"centroid_size";"1,86487433542559e-03";"1,13496255328076e-03";"1,6431152992976883";"1,26284831347144e-01";"n_turns_abs";"centroid_size";"14";"1,000000000000000";"continuous";"0,289402738503873158"
"(Intercept)";"2,55323981336832e-01";"6,40957754199966e-02";"3,9834759726953317";"1,81488887899782e-03";"start_end_dist";"centroid_size";"14";"0,000000000000000";"continuous";"0,022181975187751123"
"centroid_size";"3,84085423726888e-04";"3,19831621931023e-04";"1,2008988398580618";"2,52958651353052e-01";"start_end_dist";"centroid_size";"14";"0,000000000000000";"continuous";"0,415714939892327773"
"(Intercept)";"1,99254948082274e-02";"6,26086396773572e-02";"0,3182547154978924";"7,55762283567152e-01";"axial_span";"centroid_size";"14";"1,000000000000000";"continuous";"0,893912378412760389"
"centroid_size";"6,68316634064404e-04";"3,29215221894458e-04";"2,0300295661257635";"6,51250470287617e-02";"axial_span";"centroid_size";"14";"1,000000000000000";"continuous";"0,210698681563640910"
"(Intercept)";"4,25977902006746e-02";"5,60312084488782e-02";"0,7602511418175102";"4,61780980676989e-01";"axial_pitch_360";"centroid_size";"14";"1,000000000000000";"continuous";"0,619462291152058309"
"centroid_size";"6,25300532632333e-04";"2,94629093006525e-04";"2,1223312547022832";"5,53050168781882e-02";"axial_pitch_360";"centroid_size";"14";"1,000000000000000";"continuous";"0,184350056260627365"
"(Intercept)";"2,31589608895726e-01";"2,94871879826548e-02";"7,8539062128255059";"4,53838180189779e-06";"fit_radius";"centroid_size";"14";"1,000000000000000";"continuous";"0,000499221998208757"
"centroid_size";"1,87833850226511e-05";"1,55052580359195e-04";"0,1211420343933492";"9,05583393220340e-01";"fit_radius";"centroid_size";"14";"1,000000000000000";"continuous";"0,954711370433152462"
