"tree_id";"response";"predictor";"model_type";"dropped_taxon";"term";"estimate";"p_value";"lambda";"n_taxa";"reason";"source_path";"variant_group";"note";"n_tips";"is_rooted";"is_ultrametric";"tree_height";"total_branch_length";"rf_distance_vs_reference";"fdr_p_value"
"working_tree";"PC4";"axial_pitch_360";"tree_variant";NA;"axial_pitch_360";"-7,01907475312714e-01";"8,22563079716874e-03";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"1,78273399306148e-02"
"working_tree";"PC4";"fit_radius";"tree_variant";NA;"fit_radius";"-8,45682570809452e-01";"1,76852613630180e-01";"0,900003459107374";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"2,33233011284441e-01"
"working_tree";"PC5";"abs_winding_angle_deg";"tree_variant";NA;"abs_winding_angle_deg";"-9,27069680890130e-05";"3,41392487182570e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"3,69841861114450e-01"
"working_tree";"PC5";"n_turns_abs";"tree_variant";NA;"n_turns_abs";"-3,33745085120446e-02";"3,41392487182570e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"3,69841861114451e-01"
"working_tree";"PC5";"start_end_dist";"tree_variant";NA;"start_end_dist";"1,26490824673259e-02";"9,37352981879822e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"9,59439566853994e-01"
"working_tree";"PC5";"axial_span";"tree_variant";NA;"axial_span";"-1,85401613827699e-01";"1,88271115561259e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"2,59379150032357e-01"
"working_tree";"PC5";"axial_pitch_360";"tree_variant";NA;"axial_pitch_360";"-1,53136480634031e-01";"3,42812827640371e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"4,58467645084451e-01"
"working_tree";"PC5";"fit_radius";"tree_variant";NA;"fit_radius";"3,16262500486375e-02";"9,16134930222990e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"9,16134930222990e-01"
"working_tree";"PC1";"centroid_size";"tree_variant";NA;"centroid_size";"-5,12167391900249e-04";"3,23604279697105e-01";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"3,73161762828708e-01"
"working_tree";"PC2";"centroid_size";"tree_variant";NA;"centroid_size";"-1,00707791784781e-03";"3,68292116590895e-02";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"1,59593250522721e-01"
