specimen,bbox_diag_units,bbox_diag_um,mean_3d_thickness_vox,median_3d_thickness_vox,p10_3d_thickness_vox,p25_3d_thickness_vox,p75_3d_thickness_vox,p90_3d_thickness_vox,max_3d_thickness_vox,mean_3d_thickness_um,median_3d_thickness_um,p10_3d_thickness_um,p25_3d_thickness_um,p75_3d_thickness_um,p90_3d_thickness_um,max_3d_thickness_um,voxel_size_um,analysis_scale,effective_analysis_voxel_size_um,foreground_voxels_retained,connected_components_6n,fraction_removed_outside_largest_component,touches_original_stack_boundary,original_stack_shape_zyx,analysis_crop_start_zyx,analysis_crop_stop_zyx,analysis_crop_shape_zyx,obj_file,tif_file,thickness_definition,analysis_domain,runtime_seconds
Leperisinus_fraxini,359.4732257067277,438.55733536220777,11.175314903259277,11.431292533874512,5.96284818649292,8.951146125793457,13.258942604064941,15.624394416809082,20.99735450744629,13.63388442993164,13.946176891326903,7.274674787521362,10.920398273468017,16.17590997695923,19.06176118850708,25.61677360534668,1.22,0.75,1.6266666666666667,356187,2,2.807506148450045e-06,False,330x402x479,70x88x115,265x260x373,146x129x194,Leperisinus_fraxini.obj,Leperisinus_fraxini.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,3.0990841388702393
Limnobaris,485.635665906037,592.4755124053651,16.565805435180664,17.165327072143555,8.754305076599122,12.574678421020508,19.9157657623291,23.320510482788084,30.169889450073242,20.210283279418945,20.941699028015137,10.68025219345093,15.34110767364502,24.297234230041504,28.451022789001463,36.80726623535156,1.22,0.75,1.6266666666666667,1030035,8,1.3591586419670065e-05,False,580x636x689,44x180x326,292x429x671,186x187x259,Limnobaris.obj,Limnobaris.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,9.174484491348267
Lissorhoptrus_oryzophilus,511.25238385752294,623.7279083061779,22.8450984954834,23.95432186126709,12.808392143249513,18.66666603088379,27.72133445739746,29.804052352905273,33.94112777709961,27.871021270751953,29.224272670745847,15.626238414764405,22.773332557678224,33.8200280380249,36.36094387054443,41.40817642211914,1.22,0.75,1.6266666666666667,281824,2,7.096577320786501e-06,False,555x759x691,162x440x183,367x597x330,154x118x110,Lissorhoptrus_oryzophilus.obj,Lissorhoptrus_oryzophilus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,6.995169162750244
Listronotus,773.4817386338219,943.6477211332627,35.206932067871094,38.540565490722656,17.343127059936524,27.17408847808838,43.8176383972168,47.10224571228028,53.06599426269531,42.952457427978516,47.01948989868164,21.15861501312256,33.15238794326782,53.45751884460449,57.46473976898194,64.74051666259766,1.22,0.75,1.6266666666666667,5157844,29,0.0006215787013965635,False,667x685x739,118x121x72,660x666x606,406x409x400,Listronotus.obj,Listronotus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,74.86808013916016
Magdalis,518.9932562182287,633.171772586239,16.73052215576172,17.348020553588867,8.80292911529541,13.32900333404541,20.43080711364746,23.068038558959962,28.72087860107422,20.411237716674805,21.16458507537842,10.7395735206604,16.2613840675354,24.9255846786499,28.143007041931153,35.03947448730469,1.22,0.75,1.6266666666666667,1153407,4,2.6009831716189424e-06,False,535x528x704,162x145x81,407x397x472,184x189x293,Magdalis.obj,Magdalis.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,10.094563245773315
Merhynchites,730.4525994203867,891.1521712928718,18.373083114624023,18.5290584564209,11.883584594726562,15.220974922180176,20.615108489990234,23.532119750976562,40.44200134277344,22.4151611328125,22.605451316833495,14.497973205566405,18.569589405059816,25.150432357788084,28.709186096191406,49.33924102783203,1.22,0.75,1.6266666666666667,2700449,16,0.0006335669858309467,False,718x1009x1007,133x144x156,459x533x753,244x292x448,Merhynchites.obj,Merhynchites.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,37.96294713020325
Metapocyrtus_adspersus,839.503424650549,1024.1941780736697,33.13385772705078,34.410614013671875,13.14699935913086,23.47592258453369,42.905792236328125,47.729496002197266,64.0,40.42330551147461,41.98094909667969,16.03933921813965,28.640625553131102,52.34506652832031,58.22998512268066,78.08000183105469,1.22,0.75,1.6266666666666667,5620019,79,0.0052600678580259075,True,693x904x929,146x109x146,693x657x787,410x411x481,Metapocyrtus_adspersus.obj,Metapocyrtus_adspersus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,113.16039776802063
Mononychus_punctumalbum,886.6690476158509,1081.736238091338,30.727272033691406,33.471961975097656,14.128464889526366,23.954917907714844,37.99840545654297,42.29114303588868,50.102115631103516,37.487274169921875,40.83579360961914,17.236727165222167,29.224999847412107,46.35805465698242,51.59519450378419,61.12458419799805,1.22,0.75,1.6266666666666667,5527505,8,1.8091312280477112e-06,False,865x766x1073,176x94x401,661x588x966,364x370x424,Mononychus_punctumalbum.obj,Mononychus_punctumalbum.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,74.14546275138855
Nanophyes_marmoratus,342.9241898729222,418.36751164496513,12.541817665100098,12.735782623291016,7.836164951324463,10.428596019744873,14.153446197509766,17.06949806213379,24.147695541381836,15.301017761230469,15.537654800415039,9.560121240615844,12.722887144088745,17.267204360961912,20.824787635803222,29.460189819335938,1.22,0.75,1.6266666666666667,377091,7,7.159562789360585e-05,False,677x531x691,348x140x318,565x373x575,163x175x193,Nanophyes_marmoratus.obj,Nanophyes_marmoratus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,4.361513614654541
Nedyus_quadrimaculatus,537.0158284445627,655.1593107023664,24.650598526000977,27.33304786682129,10.994948387145996,19.313405990600586,30.61042881011963,33.71192092895508,38.73556900024414,30.07373046875,33.34631839752197,13.413837032318115,23.562355308532716,37.34472314834595,41.1285435333252,47.25739669799805,1.22,0.75,1.6266666666666667,1425420,11,5.6120659417735475e-05,False,479x247x313,93x7x8,478x243x311,289x177x227,Nedyus_quadrimaculatus.obj,Nedyus_quadrimaculatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,10.990195989608765
Neochetina,767.479641423797,936.3251625370324,26.447431564331055,27.551345825195312,12.291831016540527,21.183032989501953,32.55081558227539,37.669471740722656,45.09742736816406,32.265869140625,33.61264190673828,14.996033840179443,25.84330024719238,39.71199501037598,45.956755523681636,55.018863677978516,1.22,0.75,1.6266666666666667,3815236,61,0.006443266081211929,True,572x838x715,102x0x137,460x651x619,268x488x362,Neochetina.obj,Neochetina.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,52.23654747009277
Orchestes_testaceus,416.7841167798984,508.47662247147605,17.877944946289062,19.900705337524414,9.419497013092041,13.549673080444336,22.312047004699707,23.383752822875977,26.532997131347656,21.811094284057617,24.278860511779783,11.49178635597229,16.53060115814209,27.22069734573364,28.52817844390869,32.37025833129883,1.22,0.75,1.6266666666666667,792086,2,1.009981138599958e-05,False,450x411x431,87x81x105,309x317x378,166x177x205,Orchestes_testaceus.obj,Orchestes_testaceus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,5.0463104248046875
Ormiscus_saltator,321.9456475866695,392.7736900557368,13.508556365966797,14.637126922607422,6.436070919036865,10.453340530395508,17.056201934814453,18.049232482910156,20.483055114746094,16.480438232421875,17.857294845581055,7.852006521224975,12.75307544708252,20.808566360473634,22.02006362915039,24.989328384399414,1.22,0.75,1.6266666666666667,335725,1,0.0,False,422x385x272,68x111x86,300x284x242,174x130x117,Ormiscus_saltator.obj,Ormiscus_saltator.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,2.0232231616973877
Otiorhynchus_singularis,927.5995903405736,1131.6715002154997,11.199742317199707,10.56816577911377,7.273540019989014,8.475632667541504,12.182263374328613,16.733201599121095,32.22145462036133,13.66368579864502,12.893162250518799,8.873718824386597,10.340271854400635,14.862361316680907,20.414505950927737,39.310176849365234,1.22,0.75,1.6266666666666667,2927547,45,0.0006444928800263261,True,598x747x798,54x123x93,525x747x676,353x468x437,Otiorhynchus_singularis.obj,Otiorhynchus_singularis.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,82.08798336982727
