quality_set,tree_id,response,predictor,model_type,dropped_taxon,term,estimate,p_value,lambda,n_taxa,reason,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference,fdr_p_value
main_dataset,working_tree,axial_pitch_360,centroid_size,tree_variant,NA,centroid_size,6.66180508762028e-04,4.54804777231152e-02,0.858818559264920,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,7.85243986804377e-02
main_dataset,working_tree,fit_radius,centroid_size,tree_variant,NA,centroid_size,-3.79963002903874e-06,9.73612691442931e-01,1.000000000000000,14,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0,9.91539891225603e-01
main_dataset,ml_unrooted,abs_winding_angle_deg,n_turns_abs,tree_variant,NA,NA,NA,NA,NA,NA,"No valid PGLS fit for lambda in [0, 1].",data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA,NA
main_dataset,ml_unrooted,abs_winding_angle_deg,start_end_dist,tree_variant,NA,start_end_dist,5.96735671401054e+02,6.53722926884346e-02,1.000000000000000,13,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA,6.53722926884348e-02
main_dataset,ml_unrooted,abs_winding_angle_deg,axial_span,tree_variant,NA,axial_span,9.80765801670257e+02,2.14074593297884e-03,1.000000000000000,13,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA,2.14074593297885e-03
main_dataset,ml_unrooted,abs_winding_angle_deg,axial_pitch_360,tree_variant,NA,axial_pitch_360,5.70743649121506e+02,1.48401660657922e-01,1.000000000000000,13,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA,1.54535527917392e-01
main_dataset,ml_unrooted,abs_winding_angle_deg,fit_radius,tree_variant,NA,fit_radius,1.49336767806486e+03,6.92897548036829e-02,1.000000000000000,13,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA,1.66610138650948e-01
main_dataset,ml_unrooted,n_turns_abs,start_end_dist,tree_variant,NA,start_end_dist,1.65759908722515e+00,6.53722926884346e-02,1.000000000000000,13,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA,6.53722926884347e-02
main_dataset,ml_unrooted,n_turns_abs,axial_span,tree_variant,NA,axial_span,2.72434944908405e+00,2.14074593297884e-03,1.000000000000000,13,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA,2.14074593297885e-03
main_dataset,ml_unrooted,n_turns_abs,axial_pitch_360,tree_variant,NA,axial_pitch_360,1.58539902533752e+00,1.48401660657922e-01,1.000000000000000,13,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA,1.54535527917392e-01
