quality_set,tree_id,trait,model,logLik,AIC,AICc,converged,delta_AICc,akaike_weight,best_model,reason,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference
main_dataset,ml_unrooted,PC1,EB,13.5263015985836876,-21.052603197167375,-18.652603197167377,TRUE,0.8586202952637620,0.35336771029562858,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC2,BM,15.5577280222085292,-27.115456044417058,-26.024546953507969,TRUE,6.8767963065791342,0.03093267756919261,EB,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC2,OU,15.5579956682025831,-25.115991336405166,-22.715991336405168,TRUE,10.1853519236819352,0.00591525935268059,EB,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC2,EB,20.6506716300435507,-35.301343260087101,-32.901343260087103,TRUE,0.0000000000000000,0.96315206307812673,EB,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC3,BM,17.0259489188015571,-30.051897837603114,-28.960988746694024,TRUE,0.0000000000000000,0.72337075351476388,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC3,OU,17.0262580734193918,-28.052516146838784,-25.652516146838785,TRUE,3.3084725998552393,0.13833601121699857,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC3,EB,17.0259488078616421,-28.051897615723284,-25.651897615723286,TRUE,3.3090911309707387,0.13829323526823747,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC4,BM,18.1191664366183502,-32.238332873236700,-31.147423782327611,TRUE,0.0000000000000000,0.70389549507923121,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC4,OU,18.2413931906908715,-30.482786381381743,-28.082786381381744,TRUE,3.0646374009458661,0.15206547735703993,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC4,EB,18.1871662781180099,-30.374332556236020,-27.974332556236021,TRUE,3.1730912260915893,0.14403902756372891,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC5,BM,25.0898933045589807,-46.179786609117961,-45.088877518208868,TRUE,0.0000000000000000,0.70568477191144408,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC5,OU,25.1594366989673155,-44.318873397934631,-41.918873397934632,TRUE,3.1700041202742355,0.14462823868507121,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC5,EB,25.1938164965466491,-44.387632993093298,-41.987632993093300,TRUE,3.1012445251155683,0.14968698940348477,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,abs_winding_angle_deg,BM,-76.1743581649205055,156.348716329841011,157.548716329841000,TRUE,0.0000000000000000,0.51595920836037823,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,abs_winding_angle_deg,OU,-76.1743565947701313,158.348713189540263,161.015379856206920,TRUE,3.4666635263659202,0.09116726950045929,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,abs_winding_angle_deg,EB,-74.7135648069246230,155.427129613849246,158.093796280515903,TRUE,0.5450799506749036,0.39287352213916249,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,n_turns_abs,BM,0.3449942439315206,3.310011512136959,4.510011512136959,TRUE,0.0000000000000000,0.51595925528168984,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,n_turns_abs,OU,0.3449948165703560,5.310010366859288,7.976677033525954,TRUE,3.4666655213889950,0.09116718685084141,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,n_turns_abs,EB,1.8057876019284256,2.388424796143149,5.055091462809814,TRUE,0.5450799506728554,0.39287355786746869,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,start_end_dist,BM,17.0329159743669543,-30.065831948733909,-28.865831948733909,TRUE,0.0000000000000000,0.70855183508164232,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,start_end_dist,OU,17.3165249625182476,-28.633049925036495,-25.966383258369831,TRUE,2.8994486903640784,0.16625102966604821,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,start_end_dist,EB,17.0329156665543593,-28.065831333108719,-25.399164666442054,TRUE,3.4666672822918549,0.12519713525230941,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,axial_span,BM,17.1769158492318610,-30.353831698463722,-29.153831698463723,TRUE,0.0000000000000000,0.71799750001637164,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,axial_span,OU,17.2946920654144698,-28.589384130828940,-25.922717464162275,TRUE,3.2311142343014474,0.14272346830774896,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,axial_span,EB,17.2702624384743118,-28.540524876948624,-25.873858210281959,TRUE,3.2799734881817635,0.13927903167587946,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,axial_pitch_360,BM,17.8557498653907736,-31.711499730781547,-30.511499730781548,TRUE,0.0000000000000000,0.66685702442488282,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,axial_pitch_360,OU,17.8557501086550445,-29.711500217310089,-27.044833550643425,TRUE,3.4666661801381231,0.11782996099346413,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,axial_pitch_360,EB,18.4586003831050611,-30.917200766210122,-28.250534099543458,TRUE,2.2609656312380899,0.21531301458165303,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,fit_radius,BM,27.7636512262002704,-51.527302452400541,-50.327302452400538,TRUE,1.6713875318666851,0.28709817567462420,EB,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,fit_radius,OU,27.7637701475590681,-49.527540295118136,-46.860873628451472,TRUE,5.1378163558157510,0.05073468610762991,EB,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,fit_radius,EB,30.3326783254669436,-54.665356650933887,-51.998689984267223,TRUE,0.0000000000000000,0.66216713821774598,EB,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,centroid_size,BM,-74.2950826819009933,152.590165363801987,153.681074454711080,TRUE,0.0000000000000000,0.64280252717423969,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,centroid_size,OU,-74.2753572120494141,154.550714424098828,156.950714424098834,TRUE,3.2696399693877538,0.12533843775626075,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,centroid_size,EB,-73.6602452131815255,153.320490426363051,155.720490426363057,TRUE,2.0394159716519766,0.23185903506949962,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,consensus_unrooted,PC1,BM,12.3010301441169094,-20.602060288233819,-19.511151197324729,TRUE,0.0000000000000000,0.54260456283278979,BM,NA,data/phylogeny/P01_Trees/curc_fig1.contree,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41143131210,2.09134337310000,NA
main_dataset,consensus_unrooted,PC1,OU,12.3052671705984835,-18.610534341196967,-16.210534341196968,TRUE,3.3006168561277605,0.10417502125364814,BM,NA,data/phylogeny/P01_Trees/curc_fig1.contree,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41143131210,2.09134337310000,NA
