quality_set,tree_id,trait,method,estimate,statistic,p_value,reason,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference
primary_adequate,consensus_unrooted,PC5,Pagel_lambda,7.33137435857406e-05,26.174224879399578,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,abs_winding_angle_deg,Blomberg_K,2.13956010190226e+00,NA,2.00000000000000e-03,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,abs_winding_angle_deg,Pagel_lambda,9.99926686256414e-01,-76.174689154591476,3.51539553566605e-03,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,n_turns_abs,Blomberg_K,2.13956010190226e+00,NA,3.00000000000000e-03,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,n_turns_abs,Pagel_lambda,9.99926686256414e-01,0.344663254260535,3.51539553566614e-03,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,start_end_dist,Blomberg_K,6.86855049080482e-01,NA,4.64000000000000e-01,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,start_end_dist,Pagel_lambda,7.33137435857406e-05,18.697485916819208,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,axial_span,Blomberg_K,1.27361468350035e+00,NA,1.70000000000000e-02,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,axial_span,Pagel_lambda,9.99926686256414e-01,17.176765668926659,4.62177173285732e-02,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,axial_pitch_360,Blomberg_K,8.55581049622514e-01,NA,2.33000000000000e-01,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,axial_pitch_360,Pagel_lambda,9.99926686256414e-01,17.855612748187923,1.93388314967644e-01,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,fit_radius,Blomberg_K,9.69829226045030e-01,NA,1.13000000000000e-01,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,fit_radius,Pagel_lambda,9.99926686256414e-01,27.763364491934137,6.33159182313134e-02,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,centroid_size,Blomberg_K,1.58329011231111e+00,NA,7.00000000000000e-03,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,centroid_size,Pagel_lambda,9.99926686256414e-01,-69.213357247744796,2.89984674253669e-02,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,rooted_ml,PC1,Blomberg_K,1.34019261743387e+00,NA,3.50000000000000e-02,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,PC1,Pagel_lambda,9.99926686256414e-01,10.686479594926286,2.11885928342141e-02,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,PC2,Blomberg_K,1.99694021011181e+00,NA,5.00000000000000e-03,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,PC2,Pagel_lambda,9.99926686256414e-01,12.307879155966010,3.40700400419288e-03,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,PC3,Blomberg_K,8.36996587105746e-01,NA,2.06000000000000e-01,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,PC3,Pagel_lambda,7.33137435857406e-05,15.784661778726512,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,PC4,Blomberg_K,6.51299134381178e-01,NA,5.53000000000000e-01,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,PC4,Pagel_lambda,7.33137435857406e-05,16.883325254912972,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,PC5,Blomberg_K,8.28040050940411e-01,NA,2.24000000000000e-01,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,PC5,Pagel_lambda,7.33137435857406e-05,26.174234460998772,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,abs_winding_angle_deg,Blomberg_K,2.13954708790489e+00,NA,1.00000000000000e-03,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,abs_winding_angle_deg,Pagel_lambda,9.99926686256414e-01,-76.174701126458984,3.51545862663266e-03,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,n_turns_abs,Blomberg_K,2.13954708790489e+00,NA,2.00000000000000e-03,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,n_turns_abs,Pagel_lambda,9.99926686256414e-01,0.344651282393034,3.51545862663264e-03,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,start_end_dist,Blomberg_K,6.86852662365834e-01,NA,4.89000000000000e-01,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,start_end_dist,Pagel_lambda,7.33137435857406e-05,18.697490071276771,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,axial_span,Blomberg_K,1.27361131604919e+00,NA,2.00000000000000e-02,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,axial_span,Pagel_lambda,9.99926686256414e-01,17.176759147257094,4.62182067795740e-02,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,axial_pitch_360,Blomberg_K,8.55579735920702e-01,NA,2.11000000000000e-01,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,axial_pitch_360,Pagel_lambda,9.99926686256414e-01,17.855602407745831,1.93392783291317e-01,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,fit_radius,Blomberg_K,9.69827801314248e-01,NA,9.20000000000001e-02,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,fit_radius,Pagel_lambda,9.99926686256414e-01,27.763385971754136,6.33154793687633e-02,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,centroid_size,Blomberg_K,1.58329270736203e+00,NA,1.00000000000000e-02,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,rooted_ml,centroid_size,Pagel_lambda,9.99926686256414e-01,-69.213393843711074,2.89988332391957e-02,NA,data/phylogeny/P01_Trees/06_rooted_ml.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ultrametric,PC1,Blomberg_K,1.48392408102137e+00,NA,2.10000000000000e-02,NA,data/phylogeny/P01_Trees/08_ultrametric.tre,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,1.49720520480,9.93165094001000,NA
