quality_set,term,estimate,std_error,statistic,p_value,response,predictor,n_taxa,lambda,predictor_type,analysis_set,fdr_family,fdr_p_value
main_dataset,log_centroid_size,1.54944923785832e+02,7.28850275666203e+01,2.12588139099220e+00,5.49565529162695e-02,abs_winding_angle_deg,log_centroid_size,14,0.626206498191809,continuous,main_dataset,main_geometry_traits,8.24348293747066e-02
main_dataset,(Intercept),-1.35008249246436e+00,1.02255781161841e+00,-1.32029942671660e+00,2.11364580347461e-01,n_turns_abs,log_centroid_size,14,0.626206498193255,continuous,main_dataset,main_geometry_traits,NA
main_dataset,log_centroid_size,4.30402566071426e-01,2.02458409907320e-01,2.12588139099014e+00,5.49565529164711e-02,n_turns_abs,log_centroid_size,14,0.626206498193255,continuous,main_dataset,main_geometry_traits,8.24348293747066e-02
main_dataset,(Intercept),3.61581650106005e-02,2.79633735780618e-01,1.29305446317707e-01,8.99258012840559e-01,start_end_dist,log_centroid_size,14,0.000000000000000,continuous,main_dataset,main_geometry_traits,NA
main_dataset,log_centroid_size,5.62473456722535e-02,5.35273347765964e-02,1.05081536203903e+00,3.14045175504829e-01,start_end_dist,log_centroid_size,14,0.000000000000000,continuous,main_dataset,main_geometry_traits,3.76854210605795e-01
main_dataset,(Intercept),-4.42553915615995e-01,2.71880729486487e-01,-1.62775021404373e+00,1.29531468549138e-01,axial_span,log_centroid_size,14,0.000000000000000,continuous,main_dataset,main_geometry_traits,NA
main_dataset,log_centroid_size,1.13824985353601e-01,5.20432586072011e-02,2.18712256687653e+00,4.92612636309208e-02,axial_span,log_centroid_size,14,0.000000000000000,continuous,main_dataset,main_geometry_traits,8.24348293747066e-02
main_dataset,(Intercept),-5.13584122611683e-01,2.57938652044652e-01,-1.99110958571179e+00,6.97336164973832e-02,axial_pitch_360,log_centroid_size,14,0.915342902028077,continuous,main_dataset,main_geometry_traits,NA
main_dataset,log_centroid_size,1.32263253177037e-01,5.13685751042307e-02,2.57478921517027e+00,2.43301001503516e-02,axial_pitch_360,log_centroid_size,14,0.915342902028077,continuous,main_dataset,main_geometry_traits,8.24348293747066e-02
main_dataset,(Intercept),2.36639592883972e-01,1.05149724124034e-01,2.25050131947881e+00,4.39574492507481e-02,fit_radius,log_centroid_size,14,1.000000000000000,continuous,main_dataset,main_geometry_traits,NA
main_dataset,log_centroid_size,-1.22345608429061e-04,2.08866497831379e-02,-5.85759849948900e-03,9.95422592719232e-01,fit_radius,log_centroid_size,14,1.000000000000000,continuous,main_dataset,main_geometry_traits,9.95422592719232e-01
